order_line_id,order_id,customer_id,product_id,quantity,unit_price,currency,status,created_at
L-0012074,O-009042,C-01730,P-0384,1,242.29,USD,COMPLETED,2025-11-07 06:27:36
L-0000352,O-000259,C-03112,P-0538,1,86.06,EUR,completed,2026-09-08 01:45:12
L-0020168,O-015106,C-00095,P-0298,1,402.00,usd,COMPLETED,2026-05-24 22:57:37
L-0031226,O-023317,C-01634,P-0118,1,361.13,usd,completed,2025-01-31 21:04:15
L-0019038,O-014247,C-01743,P-0538,2,86.06,USD,PENDING,2025-07-23 01:58:30
L-0018433,O-013798,C-02561,P-0381,-2,278.73,EUR,completed,05/08/2026 17:22
L-0012800,O-009587,C-03741,P-0411,1,334.51,Usd,COMPLETED,2026-03-18 06:39:11
L-0022934,O-017136,C-00503,P-0264,2,76.22,USD,completed,2025-02-23 03:28:55
L-0021738,O-016249,C-00979,P-0033,1,166.28,eur,Completed,2025-09-26 11:46:52
L-0019313,O-014453,C-01652,P-0559,2,295.29,usd,Completed,12/17/2025 21:42
L-0000813,O-000585,C-04406,P-0353,1,284.65,USD,COMPLETED,2026-01-21 09:40:20
L-0014667,O-010986,C-02053,P-0123,1,46.80,USD,completed,2026-05-26 20:20:54
L-0025748,O-019244,C-00429,P-0531,1,345.39,usd,COMPLETED,2026-07-12 21:47:54
L-0030712,O-022937,C-00240,P-0055,3,354.06,Usd,COMPLETED,2025-02-06 22:21:52
L-0030019,O-022419,C-03705,P-0520,2,414.45,usd,Completed,2025-07-02 18:18:26
L-0012105,O-009066,C-03031,P-0212,5,292.65,USD,pending,2026-05-16 05:34:21
L-0004532,O-003401,C-04766,P-0142,3,247.90,USD,completed,2026-08-30 03:31:01
L-0019097,O-014285,C-00974,P-0425,1,304.93,USD,completed,02/10/2026 21:42
L-0029966,O-022376,C-04208,P-0080,2,393.03,usd,completed,2025-04-08 14:49:05
L-0022329,O-016676,C-01470,P-0590,1,17.29,USD,COMPLETED,2026-08-27 03:12:38
L-0001592,O-001182,C-00521,P-0171,1,149.00,USD,COMPLETED,2025/13/45 25:99:99
L-0000929,O-000673,C-04344,P-0260,3,299.24,USD,COMPLETED,2025-10-18 16:14:51
L-0015821,O-011851,C-00513,P-0479,2,319.14,usd,COMPLETED,2026-04-07 07:34:54
L-0008022,O-006007,C-04411,P-0572,1,423.02,Usd,COMPLETED,2026-08-22 12:12:22
L-0000317,O-000231,C-01340,P-0482,3,112.73,USD,COMPLETED,2025-09-17 00:20:05
L-0031811,O-023759,C-02967,P-0334,2,431.06,Usd,COMPLETED,2025-07-10 06:32:31
L-0016563,O-012404,C-02328,P-0195,2,80.88,USD,COMPLETED,03/18/2026 07:19
L-0006679,O-005023,C-01556,P-0474,2,71.38,USD,COMPLETED,not-a-date
L-0013324,O-009965,C-04379,P-0160,2,385.48,Usd,Completed,2026-07-25 00:13:46
L-0007791,O-005840,C-00598,P-0235,2,466.85,usd,PENDING,01/04/2026 09:50
L-0028175,O-021036,C-04720,P-0204,1,76.23,USD,COMPLETED,2025-04-25 05:57:12
L-0019685,O-014738,C-01747,P-0049,2,342.84,USD,CANCELLED,2026-05-02 17:16:29
L-0000411,O-000304,C-02395,P-0592,1,226.86,usd,COMPLETED,2025-03-09 05:46:00
L-0009015,O-006755,C-01340,P-0501,4,369.67,usd,COMPLETED,2025-04-20 17:19:12
L-0015345,O-011487,C-00014,P-0332,1,105.19,USD,COMPLETED,2025-03-25 02:31:11
L-0003741,O-002804,C-04297,P-0368,4,337.26,usd,completed,10/16/2025 10:54
L-0001172,O-000868,C-00270,P-0234,2,300.04,Usd,CANCELLED,2025-12-07 20:04:44
L-0027205,O-020336,C-03972,P-0076,4,144.29,USD,completed,2025-02-17 17:41:08
L-0002369,O-001774,C-02132,P-0565,1,326.33,USD,COMPLETED,2026-05-18 18:48:42
L-0021701,O-016226,C-04808,P-0218,3,66.26,Usd,Completed,2025-08-21 09:02:11
L-0015912,O-011913,C-00891,P-0281,1,26.52,usd,completed,2025-10-19 23:20:20
L-0025949,O-019397,C-00943,P-0443,2,368.64,usd,COMPLETED,2025-03-10 06:24:11
L-0029036,O-021679,C-01913,P-0444,1,100.56,usd,completed,2026-04-07
L-0019005,O-014221,C-02739,P-0262,1,413.21,gbp,Completed,2025-07-26 07:50:30
L-0011692,O-008757,C-01933,P-0469,1,78.48,USD,Completed,2026-01-05 19:53:15
L-0018647,O-013955,C-01713,P-0577,1,455.23,USD,Completed,2025-07-10 18:01:43
L-0007903,O-005924,C-01489,P-0466,2,351.39,Usd,cancelled,2026-09-21 11:20:56
L-0020645,O-015456,C-03290,P-0552,2,79.58,USD,COMPLETED,2025-11-02 12:49:23
