product_id,sku,product_name,category,unit_price_raw
P-0001,SKU-00001,Pro Sports-1,Home & Kitchen,388.11
P-0002,SKU-00002,Max Apparel-2,Electronics,222.24
P-0003,SKU-00003,Ultra Beauty-3,Electronics,$430.01
P-0004,SKU-00004,Max Toys-4,Sports,350.20
P-0005,SKU-00005,Pro Home-5,Books,51.62
P-0006,SKU-00006,Ultra Books-6,Toys,487.93
P-0007,SKU-00007,Classic Sports-7,Grocery,$381.76
P-0008,SKU-00008,Mini Apparel-8,Books,394.10
P-0009,SKU-00009,Pro Electronics-9,Sports,68.42
P-0010,SKU-00010,Ultra Apparel-10,Grocery,227.94
P-0011,SKU-00011,Classic Home-11,Beauty,188.55
P-0012,SKU-00012,Pro Home-12,Beauty,463.75
P-0013,SKU-00013,Mini Sports-13,Beauty,323.71
P-0014,SKU-00014,Pro Beauty-14,Books,412.27
P-0015,SKU-00015,Pro Beauty-15,Books,224.49
P-0016,SKU-00016,Mini Toys-16,Grocery,117.48
P-0017,SKU-00017,Ultra Beauty-17,Sports,$279.52
P-0018,SKU-00018,Mini Toys-18,Home & Kitchen,36.59
P-0019,SKU-00019,Pro Electronics-19,Home & Kitchen,414.68
P-0020,SKU-00020,Mini Apparel-20,Grocery,317.67
P-0021,SKU-00021,Max Electronics-21,Apparel,380.25
P-0022,SKU-00022,Max Sports-22,Books,180.49
P-0023,SKU-00023,Mini Home-23,Sports,$485.50
P-0024,SKU-00024,Ultra Apparel-24,Sports,447.09
P-0025,SKU-00025,Max Beauty-25,Home & Kitchen,390.30
P-0026,SKU-00026,Max Electronics-26,Grocery,101.35
P-0027,SKU-00027,Classic Sports-27,Beauty,$236.03
P-0028,SKU-00028,Pro Apparel-28,Apparel,26.68
P-0029,SKU-00029,Max Home-29,Grocery,81.37
P-0030,SKU-00030,Ultra Sports-30,Toys,343.11
P-0031,SKU-00031,Max Beauty-31,Toys,373.66
P-0032,SKU-00032,Classic Grocery-32,Grocery,483.92
